restaurant_id,restaurant_name,menu_type,menu_name,menu_category,price,is_recommended
6301290,Vikings,Seafood,Grilled Seafood Platter,main,8500,0
6301290,Vikings,Seafood,Garlic Butter Prawns,main,7000,1
6301290,Vikings,Seafood,Calamari Rings,side,28000,1
6301290,Vikings,Filipino,Chicken Adobo,main,12500,1
6301290,Vikings,Filipino,Pork Sisig,main,9000,1
6301290,Vikings,Filipino,Halo-Halo Dessert,dessert,17000,1
6301290,Vikings,Asian,Stir-Fried Noodles with Vegetables,main,23000,1
6301290,Vikings,Asian,Asian Sesame Chicken Bowl,main,28000,0
6301290,Vikings,Asian,Crispy Spring Rolls,side,29000,1
6301290,Vikings,European,Herb Roasted Chicken,main,16000,0
6301290,Vikings,European,Creamy Mushroom Pasta,main,35000,1
6301290,Vikings,European,Mixed Green Salad,side,14500,0
6300010,Spiral - Sofitel Philippine Plaza Manila,European,Herb Roasted Chicken,main,34000,1
6300010,Spiral - Sofitel Philippine Plaza Manila,European,Creamy Mushroom Pasta,main,19000,1
6300010,Spiral - Sofitel Philippine Plaza Manila,European,Mixed Green Salad,side,18000,1
6300010,Spiral - Sofitel Philippine Plaza Manila,Asian,Stir-Fried Noodles with Vegetables,main,13000,1
6300010,Spiral - Sofitel Philippine Plaza Manila,Asian,Asian Sesame Chicken Bowl,main,18000,1
6300010,Spiral - Sofitel Philippine Plaza Manila,Asian,Crispy Spring Rolls,side,13500,1
6300010,Spiral - Sofitel Philippine Plaza Manila,Indian,Butter Chicken with Naan,main,20500,1
6300010,Spiral - Sofitel Philippine Plaza Manila,Indian,Palak Paneer,main,20500,1
6300010,Spiral - Sofitel Philippine Plaza Manila,Indian,Tandoori Platter,side,7500,0
6314987,Locavore,Filipino,Chicken Adobo,main,29500,1
6314987,Locavore,Filipino,Pork Sisig,main,27500,0
6314987,Locavore,Filipino,Halo-Halo Dessert,dessert,17500,1
6309903,Silantro Fil-Mex,Filipino,Chicken Adobo,main,19000,1
6309903,Silantro Fil-Mex,Filipino,Pork Sisig,main,27000,0
6309903,Silantro Fil-Mex,Filipino,Halo-Halo Dessert,dessert,7500,1
6309903,Silantro Fil-Mex,Mexican,Chicken Fajita Platter,main,17000,1
6309903,Silantro Fil-Mex,Mexican,Beef Tacos Trio,main,17500,1
6309903,Silantro Fil-Mex,Mexican,Nachos with Salsa,side,31500,1
6309455,Mad Mark's Creamery & Good Eats,American,Classic Cheeseburger,main,12000,0
6309455,Mad Mark's Creamery & Good Eats,American,Buttermilk Fried Chicken,main,20000,1
6309455,Mad Mark's Creamery & Good Eats,American,Mac and Cheese,side,23000,1
6309455,Mad Mark's Creamery & Good Eats,Ice Cream,Triple Scoop Sundae,dessert,30500,1
6309455,Mad Mark's Creamery & Good Eats,Ice Cream,Classic Vanilla Cone,dessert,14000,1
6309455,Mad Mark's Creamery & Good Eats,Ice Cream,Chocolate Brownie Sundae,dessert,18000,1
6309455,Mad Mark's Creamery & Good Eats,Desserts,Classic Tiramisu,dessert,30000,0
6309455,Mad Mark's Creamery & Good Eats,Desserts,New York Cheesecake,dessert,18500,1
6309455,Mad Mark's Creamery & Good Eats,Desserts,Molten Chocolate Lava Cake,dessert,20500,1
6318433,Silantro Fil-Mex,Filipino,Chicken Adobo,main,33500,1
6318433,Silantro Fil-Mex,Filipino,Pork Sisig,main,14000,1
6318433,Silantro Fil-Mex,Filipino,Halo-Halo Dessert,dessert,20500,1
6318433,Silantro Fil-Mex,Mexican,Chicken Fajita Platter,main,31500,1
6318433,Silantro Fil-Mex,Mexican,Beef Tacos Trio,main,8000,1
6318433,Silantro Fil-Mex,Mexican,Nachos with Salsa,side,7500,1
6310470,Guevarra's,Filipino,Chicken Adobo,main,32000,1
6310470,Guevarra's,Filipino,Pork Sisig,main,14500,0
6310470,Guevarra's,Filipino,Halo-Halo Dessert,dessert,9500,1
6314605,Sodam Korean Restaurant,Korean,Bibimbap Rice Bowl,main,34500,1
6314605,Sodam Korean Restaurant,Korean,Korean Fried Chicken,main,20500,1
6314605,Sodam Korean Restaurant,Korean,Kimchi Pancake,side,31500,1
18185059,Cafe Arabelle,Cafe,Club Sandwich,main,10000,1
18185059,Cafe Arabelle,Cafe,Caesar Salad,side,14000,0
18185059,Cafe Arabelle,Cafe,Chocolate Chip Cookie,dessert,32500,0
18185059,Cafe Arabelle,American,Classic Cheeseburger,main,11000,1
18185059,Cafe Arabelle,American,Buttermilk Fried Chicken,main,12500,1
18185059,Cafe Arabelle,American,Mac and Cheese,side,8000,0
18185059,Cafe Arabelle,Italian,Margherita Pizza,main,13000,1
18185059,Cafe Arabelle,Italian,Spaghetti Carbonara,main,11000,1
18185059,Cafe Arabelle,Italian,Tiramisu,dessert,14000,0
18185059,Cafe Arabelle,Filipino,Chicken Adobo,main,9000,1
18185059,Cafe Arabelle,Filipino,Pork Sisig,main,19500,1
18185059,Cafe Arabelle,Filipino,Halo-Halo Dessert,dessert,34000,1
18182702,Nonna's Pasta & Pizzeria,Italian,Margherita Pizza,main,18500,1
18182702,Nonna's Pasta & Pizzeria,Italian,Spaghetti Carbonara,main,32000,1
18182702,Nonna's Pasta & Pizzeria,Italian,Tiramisu,dessert,24000,1
18182702,Nonna's Pasta & Pizzeria,Pizza,Margherita Pizza,main,32500,1
18182702,Nonna's Pasta & Pizzeria,Pizza,Pepperoni Pizza,main,9000,1
18182702,Nonna's Pasta & Pizzeria,Pizza,Four Cheese Pizza,main,31000,1
6318213,Balay Dako,Filipino,Chicken Adobo,main,21500,1
6318213,Balay Dako,Filipino,Pork Sisig,main,21000,1
6318213,Balay Dako,Filipino,Halo-Halo Dessert,dessert,10500,1
18255654,Hobing Korean Dessert Cafe,Cafe,Club Sandwich,main,25000,1
18255654,Hobing Korean Dessert Cafe,Cafe,Caesar Salad,side,13500,0
18255654,Hobing Korean Dessert Cafe,Cafe,Chocolate Chip Cookie,dessert,11000,1
18255654,Hobing Korean Dessert Cafe,Korean,Bibimbap Rice Bowl,main,25000,0
18255654,Hobing Korean Dessert Cafe,Korean,Korean Fried Chicken,main,22000,1
18255654,Hobing Korean Dessert Cafe,Korean,Kimchi Pancake,side,14500,0
18255654,Hobing Korean Dessert Cafe,Desserts,Classic Tiramisu,dessert,33000,1
18255654,Hobing Korean Dessert Cafe,Desserts,New York Cheesecake,dessert,32000,1
18255654,Hobing Korean Dessert Cafe,Desserts,Molten Chocolate Lava Cake,dessert,7500,1
6308205,Wildflour Cafe + Bakery,Cafe,Club Sandwich,main,19500,1
6308205,Wildflour Cafe + Bakery,Cafe,Caesar Salad,side,11000,1
6308205,Wildflour Cafe + Bakery,Cafe,Chocolate Chip Cookie,dessert,25000,1
6308205,Wildflour Cafe + Bakery,Bakery,Butter Croissant,dessert,19500,1
6308205,Wildflour Cafe + Bakery,Bakery,Chocolate Fudge Brownie,dessert,11500,0
6308205,Wildflour Cafe + Bakery,Bakery,Cinnamon Roll,dessert,22500,0
6308205,Wildflour Cafe + Bakery,American,Classic Cheeseburger,main,25500,1
6308205,Wildflour Cafe + Bakery,American,Buttermilk Fried Chicken,main,19500,1
6308205,Wildflour Cafe + Bakery,American,Mac and Cheese,side,9500,1
6308205,Wildflour Cafe + Bakery,Italian,Margherita Pizza,main,17500,1
6308205,Wildflour Cafe + Bakery,Italian,Spaghetti Carbonara,main,25500,0
6308205,Wildflour Cafe + Bakery,Italian,Tiramisu,dessert,19000,0
6315438,NIU by Vikings,Seafood,Grilled Seafood Platter,main,15000,1
6315438,NIU by Vikings,Seafood,Garlic Butter Prawns,main,7000,1
6315438,NIU by Vikings,Seafood,Calamari Rings,side,23000,0
6315438,NIU by Vikings,American,Classic Cheeseburger,main,10000,1
6315438,NIU by Vikings,American,Buttermilk Fried Chicken,main,23000,1
6315438,NIU by Vikings,American,Mac and Cheese,side,14500,1
6315438,NIU by Vikings,Mediterranean,Grilled Chicken Gyro Plate,main,17000,1
6315438,NIU by Vikings,Mediterranean,Mediterranean Mezze Platter,side,10000,1
6315438,NIU by Vikings,Mediterranean,Greek Yogurt with Honey,dessert,34000,1
6315438,NIU by Vikings,Japanese,Chicken Katsu Curry,main,34500,1
6315438,NIU by Vikings,Japanese,Tempura Udon Noodles,main,7500,1
6315438,NIU by Vikings,Japanese,Edamame with Sea Salt,side,12500,1
6310406,The Food Hall by Todd English,American,Classic Cheeseburger,main,8000,1
6310406,The Food Hall by Todd English,American,Buttermilk Fried Chicken,main,23000,0
6310406,The Food Hall by Todd English,American,Mac and Cheese,side,31000,1
6310406,The Food Hall by Todd English,Asian,Stir-Fried Noodles with Vegetables,main,19500,1
6310406,The Food Hall by Todd English,Asian,Asian Sesame Chicken Bowl,main,29500,0
6310406,The Food Hall by Todd English,Asian,Crispy Spring Rolls,side,34000,1
6310406,The Food Hall by Todd English,Italian,Margherita Pizza,main,27000,1
6310406,The Food Hall by Todd English,Italian,Spaghetti Carbonara,main,12000,1
6310406,The Food Hall by Todd English,Italian,Tiramisu,dessert,19500,1
6310406,The Food Hall by Todd English,Seafood,Grilled Seafood Platter,main,7000,1
6310406,The Food Hall by Todd English,Seafood,Garlic Butter Prawns,main,13500,0
6310406,The Food Hall by Todd English,Seafood,Calamari Rings,side,23500,0
6600681,Chez Michou,Fast Food,Crispy Chicken Nuggets,main,28000,1
6600681,Chez Michou,Fast Food,Double Patty Burger,main,35000,0
6600681,Chez Michou,Fast Food,French Fries,side,33000,1
6600681,Chez Michou,French,Coq au Vin,main,20000,1
6600681,Chez Michou,French,Ratatouille Provençal,main,28000,1
6600681,Chez Michou,French,Crème Brûlée,dessert,24000,1
6601005,Caf�� Daniel Briand,Cafe,Club Sandwich,main,21000,1
6601005,Caf�� Daniel Briand,Cafe,Caesar Salad,side,22500,1
6601005,Caf�� Daniel Briand,Cafe,Chocolate Chip Cookie,dessert,13000,0
6600292,Casa do Biscoito Mineiro,Bakery,Butter Croissant,dessert,26500,0
6600292,Casa do Biscoito Mineiro,Bakery,Chocolate Fudge Brownie,dessert,17500,1
6600292,Casa do Biscoito Mineiro,Bakery,Cinnamon Roll,dessert,7000,1
6600441,Maori,Brazilian,Feijoada Black Bean Stew,main,25000,1
6600441,Maori,Brazilian,Churrasco Grilled Meats,main,32500,0
6600441,Maori,Brazilian,Pão de Queijo,side,33000,1
6600970,Pizza �� Bessa,Pizza,Margherita Pizza,main,28500,1
6600970,Pizza �� Bessa,Pizza,Pepperoni Pizza,main,15500,0
6600970,Pizza �� Bessa,Pizza,Four Cheese Pizza,main,33500,1
6600379,Sushi Loko,Japanese,Chicken Katsu Curry,main,14000,1
6600379,Sushi Loko,Japanese,Tempura Udon Noodles,main,9000,1
6600379,Sushi Loko,Japanese,Edamame with Sea Salt,side,24500,1
6600214,Beirute,Arabian,Mixed Grill Platter,main,31000,0
6600214,Beirute,Arabian,Chicken Mandi Rice,main,31500,1
6600214,Beirute,Arabian,Tabbouleh Salad,side,19000,0
6601218,New Koto,Japanese,Chicken Katsu Curry,main,21500,1
6601218,New Koto,Japanese,Tempura Udon Noodles,main,15500,0
6601218,New Koto,Japanese,Edamame with Sea Salt,side,16000,1
6600060,Sandubas Caf��,Brazilian,Feijoada Black Bean Stew,main,10500,0
6600060,Sandubas Caf��,Brazilian,Churrasco Grilled Meats,main,24000,1
6600060,Sandubas Caf��,Brazilian,Pão de Queijo,side,16500,0
6600060,Sandubas Caf��,Cafe,Club Sandwich,main,15000,1
6600060,Sandubas Caf��,Cafe,Caesar Salad,side,22000,1
6600060,Sandubas Caf��,Cafe,Chocolate Chip Cookie,dessert,27500,1
6600083,Villa Tevere,Italian,Margherita Pizza,main,13000,0
6600083,Villa Tevere,Italian,Spaghetti Carbonara,main,28000,1
6600083,Villa Tevere,Italian,Tiramisu,dessert,14000,1
6601515,Rovereto,Pizza,Margherita Pizza,main,11000,0
6601515,Rovereto,Pizza,Pepperoni Pizza,main,24000,1
6601515,Rovereto,Pizza,Four Cheese Pizza,main,30000,1
6601361,Buena Carne,Bar Food,Loaded Nachos,snack,7000,1
6601361,Buena Carne,Bar Food,Buffalo Chicken Wings,snack,11000,1
6601361,Buena Carne,Bar Food,Beer-Battered Onion Rings,snack,32000,1
6601361,Buena Carne,Brazilian,Feijoada Black Bean Stew,main,32500,0
6601361,Buena Carne,Brazilian,Churrasco Grilled Meats,main,28000,1
6601361,Buena Carne,Brazilian,Pão de Queijo,side,23000,1
6601602,Taco Pep,Mexican,Chicken Fajita Platter,main,7000,1
6601602,Taco Pep,Mexican,Beef Tacos Trio,main,18500,1
6601602,Taco Pep,Mexican,Nachos with Salsa,side,20500,1
6601602,Taco Pep,Grill,Mixed Grill Platter,main,25000,1
6601602,Taco Pep,Grill,Grilled Chicken Skewers,main,21000,1
6601602,Taco Pep,Grill,Charred Veggie Skewers,side,16000,0
6601589,Coco Bambu,International,Global Tasting Plate,main,13000,1
6601589,Coco Bambu,International,International Pasta Bowl,main,7500,0
6601589,Coco Bambu,International,World Street Food Sampler,side,35000,1
6601862,Tayp��,Peruvian,Lomo Saltado,main,19500,1
6601862,Tayp��,Peruvian,Peruvian Ceviche,side,17500,1
6601862,Tayp��,Peruvian,Aji de Gallina,main,7000,0
6601862,Tayp��,Latin American,Grilled Carne Asada,main,34500,0
6601862,Tayp��,Latin American,Chicken Enchiladas,main,18000,1
6601862,Tayp��,Latin American,Churros with Chocolate,dessert,11500,1
6601595,Outback Steakhouse,American,Classic Cheeseburger,main,25000,1
6601595,Outback Steakhouse,American,Buttermilk Fried Chicken,main,33000,1
6601595,Outback Steakhouse,American,Mac and Cheese,side,22000,1
6601595,Outback Steakhouse,Grill,Mixed Grill Platter,main,24500,1
6601595,Outback Steakhouse,Grill,Grilled Chicken Skewers,main,33500,0
6601595,Outback Steakhouse,Grill,Charred Veggie Skewers,side,12500,1
6601158,Manzu��,Seafood,Grilled Seafood Platter,main,8500,1
6601158,Manzu��,Seafood,Garlic Butter Prawns,main,31000,1
6601158,Manzu��,Seafood,Calamari Rings,side,24000,0
6600427,Coco Bambu,International,Global Tasting Plate,main,30500,1
6600427,Coco Bambu,International,International Pasta Bowl,main,28500,0
6600427,Coco Bambu,International,World Street Food Sampler,side,8500,0
6600116,Gero,Italian,Margherita Pizza,main,14500,1
6600116,Gero,Italian,Spaghetti Carbonara,main,23000,1
6600116,Gero,Italian,Tiramisu,dessert,21500,1
6601457,Brazilian American Burgers,American,Classic Cheeseburger,main,17000,1
6601457,Brazilian American Burgers,American,Buttermilk Fried Chicken,main,18500,0
6601457,Brazilian American Burgers,American,Mac and Cheese,side,13000,1
6601457,Brazilian American Burgers,Burger,Double Beef Burger,main,13500,1
6601457,Brazilian American Burgers,Burger,Crispy Chicken Burger,main,13000,1
6601457,Brazilian American Burgers,Burger,Veggie Bean Burger,main,22500,1
7303219,Pesqueiro Eco Gourmet,Seafood,Grilled Seafood Platter,main,29000,0
7303219,Pesqueiro Eco Gourmet,Seafood,Garlic Butter Prawns,main,7000,1
7303219,Pesqueiro Eco Gourmet,Seafood,Calamari Rings,side,31000,1
7303219,Pesqueiro Eco Gourmet,Bar Food,Loaded Nachos,snack,24000,1
7303219,Pesqueiro Eco Gourmet,Bar Food,Buffalo Chicken Wings,snack,22000,1
7303219,Pesqueiro Eco Gourmet,Bar Food,Beer-Battered Onion Rings,snack,27000,1
7303219,Pesqueiro Eco Gourmet,Brazilian,Feijoada Black Bean Stew,main,8000,1
7303219,Pesqueiro Eco Gourmet,Brazilian,Churrasco Grilled Meats,main,27000,1
7303219,Pesqueiro Eco Gourmet,Brazilian,Pão de Queijo,side,21000,0
7304307,Confeitaria Colombo,Desserts,Classic Tiramisu,dessert,28000,1
7304307,Confeitaria Colombo,Desserts,New York Cheesecake,dessert,14000,1
7304307,Confeitaria Colombo,Desserts,Molten Chocolate Lava Cake,dessert,33500,1
7304307,Confeitaria Colombo,Cafe,Club Sandwich,main,22500,1
7304307,Confeitaria Colombo,Cafe,Caesar Salad,side,17500,1
7304307,Confeitaria Colombo,Cafe,Chocolate Chip Cookie,dessert,17000,0
7301215,Bibi,Juices,Fresh Orange Juice,drink,17500,1
7301215,Bibi,Juices,Watermelon Cooler,drink,8000,1
7301215,Bibi,Juices,Carrot Apple Ginger Juice,drink,10500,1
7301215,Bibi,Healthy Food,Quinoa Buddha Bowl,main,22000,0
7301215,Bibi,Healthy Food,Grilled Chicken Salad,main,23000,1
7301215,Bibi,Healthy Food,Fresh Fruit Cup,side,26000,1
7300596,Cervantes,Beverages,Fresh Lime Soda,drink,15000,1
7300596,Cervantes,Beverages,Sparkling Fruit Punch,drink,33500,1
7300596,Cervantes,Beverages,Iced Lemon Tea,drink,21500,1
7300596,Cervantes,Bar Food,Loaded Nachos,snack,22000,0
7300596,Cervantes,Bar Food,Buffalo Chicken Wings,snack,32500,1
7300596,Cervantes,Bar Food,Beer-Battered Onion Rings,snack,26000,0
7300596,Cervantes,Fast Food,Crispy Chicken Nuggets,main,14500,0
7300596,Cervantes,Fast Food,Double Patty Burger,main,23500,1
7300596,Cervantes,Fast Food,French Fries,side,18500,1
7300612,Amir,Lebanese,Chicken Shawarma Plate,main,11000,1
7300612,Amir,Lebanese,Hummus with Pita,side,23500,1
7300612,Amir,Lebanese,Falafel Platter,main,18500,0
7300704,TT Burger,Burger,Double Beef Burger,main,13000,1
7300704,TT Burger,Burger,Crispy Chicken Burger,main,18000,0
7300704,TT Burger,Burger,Veggie Bean Burger,main,30500,1
7300955,Braseiro da G��vea,Brazilian,Feijoada Black Bean Stew,main,10500,1
7300955,Braseiro da G��vea,Brazilian,Churrasco Grilled Meats,main,32000,1
7300955,Braseiro da G��vea,Brazilian,Pão de Queijo,side,17500,0
7300955,Braseiro da G��vea,Bar Food,Loaded Nachos,snack,9000,0
7300955,Braseiro da G��vea,Bar Food,Buffalo Chicken Wings,snack,33500,1
7300955,Braseiro da G��vea,Bar Food,Beer-Battered Onion Rings,snack,21000,0
7300521,Balada Mix,Brazilian,Feijoada Black Bean Stew,main,17000,1
7300521,Balada Mix,Brazilian,Churrasco Grilled Meats,main,27000,1
7300521,Balada Mix,Brazilian,Pão de Queijo,side,21500,1
7300521,Balada Mix,Healthy Food,Quinoa Buddha Bowl,main,14000,0
7300521,Balada Mix,Healthy Food,Grilled Chicken Salad,main,24000,1
7300521,Balada Mix,Healthy Food,Fresh Fruit Cup,side,27500,1
7300521,Balada Mix,Juices,Fresh Orange Juice,drink,32000,1
7300521,Balada Mix,Juices,Watermelon Cooler,drink,18500,0
7300521,Balada Mix,Juices,Carrot Apple Ginger Juice,drink,26000,1
7300521,Balada Mix,Pizza,Margherita Pizza,main,19000,0
7300521,Balada Mix,Pizza,Pepperoni Pizza,main,17500,1
7300521,Balada Mix,Pizza,Four Cheese Pizza,main,17000,1
7300515,Garota de Ipanema,Brazilian,Feijoada Black Bean Stew,main,12000,1
7300515,Garota de Ipanema,Brazilian,Churrasco Grilled Meats,main,23500,1
7300515,Garota de Ipanema,Brazilian,Pão de Queijo,side,12500,1
7300515,Garota de Ipanema,Bar Food,Loaded Nachos,snack,13000,0
7300515,Garota de Ipanema,Bar Food,Buffalo Chicken Wings,snack,28000,1
7300515,Garota de Ipanema,Bar Food,Beer-Battered Onion Rings,snack,15500,0
7300483,Zaz�� Bistr�� Tropical,Brazilian,Feijoada Black Bean Stew,main,11000,1
7300483,Zaz�� Bistr�� Tropical,Brazilian,Churrasco Grilled Meats,main,24500,1
7300483,Zaz�� Bistr�� Tropical,Brazilian,Pão de Queijo,side,26000,0
7301064,Fil�� de Ouro,Brazilian,Feijoada Black Bean Stew,main,28500,1
7301064,Fil�� de Ouro,Brazilian,Churrasco Grilled Meats,main,25000,1
7301064,Fil�� de Ouro,Brazilian,Pão de Queijo,side,10500,0
7304312,D.O.C Ristorante,Italian,Margherita Pizza,main,19500,1
7304312,D.O.C Ristorante,Italian,Spaghetti Carbonara,main,19000,1
7304312,D.O.C Ristorante,Italian,Tiramisu,dessert,24500,1
7300004,Sushi Leblon,Japanese,Chicken Katsu Curry,main,18000,1
7300004,Sushi Leblon,Japanese,Tempura Udon Noodles,main,15500,1
7300004,Sushi Leblon,Japanese,Edamame with Sea Salt,side,13000,0
7300868,Talho Capixaba,Bakery,Butter Croissant,dessert,26000,1
7300868,Talho Capixaba,Bakery,Chocolate Fudge Brownie,dessert,24000,1
7300868,Talho Capixaba,Bakery,Cinnamon Roll,dessert,17500,1
7300868,Talho Capixaba,Sandwich,Grilled Cheese Sandwich,main,13500,0
7300868,Talho Capixaba,Sandwich,Chicken Club Sandwich,main,31500,0
7300868,Talho Capixaba,Sandwich,Veggie Hummus Sandwich,main,22000,1
7300868,Talho Capixaba,Brazilian,Feijoada Black Bean Stew,main,18500,1
7300868,Talho Capixaba,Brazilian,Churrasco Grilled Meats,main,25000,1
7300868,Talho Capixaba,Brazilian,Pão de Queijo,side,20000,0
7302637,Leme Light,Brazilian,Feijoada Black Bean Stew,main,12500,1
7302637,Leme Light,Brazilian,Churrasco Grilled Meats,main,17000,1
7302637,Leme Light,Brazilian,Pão de Queijo,side,12000,0
7302140,Shirley,Brazilian,Feijoada Black Bean Stew,main,12000,1
7302140,Shirley,Brazilian,Churrasco Grilled Meats,main,19000,1
7302140,Shirley,Brazilian,Pão de Queijo,side,17500,1
7302140,Shirley,Seafood,Grilled Seafood Platter,main,31500,1
7302140,Shirley,Seafood,Garlic Butter Prawns,main,9000,1
7302140,Shirley,Seafood,Calamari Rings,side,25000,1
7305048,Quiosque Chopp Brahma,Bar Food,Loaded Nachos,snack,22000,1
7305048,Quiosque Chopp Brahma,Bar Food,Buffalo Chicken Wings,snack,12500,1
7305048,Quiosque Chopp Brahma,Bar Food,Beer-Battered Onion Rings,snack,24500,0
7305048,Quiosque Chopp Brahma,Brazilian,Feijoada Black Bean Stew,main,14500,0
7305048,Quiosque Chopp Brahma,Brazilian,Churrasco Grilled Meats,main,9000,1
7305048,Quiosque Chopp Brahma,Brazilian,Pão de Queijo,side,11500,1
7302898,Apraz�_vel,Brazilian,Feijoada Black Bean Stew,main,12000,1
7302898,Apraz�_vel,Brazilian,Churrasco Grilled Meats,main,27000,1
7302898,Apraz�_vel,Brazilian,Pão de Queijo,side,10500,1
7302859,Aconchego Carioca,Brazilian,Feijoada Black Bean Stew,main,30000,1
7302859,Aconchego Carioca,Brazilian,Churrasco Grilled Meats,main,14000,0
7302859,Aconchego Carioca,Brazilian,Pão de Queijo,side,12000,0
7302859,Aconchego Carioca,Bar Food,Loaded Nachos,snack,26000,1
7302859,Aconchego Carioca,Bar Food,Buffalo Chicken Wings,snack,10500,0
7302859,Aconchego Carioca,Bar Food,Beer-Battered Onion Rings,snack,35000,1
7301700,Garota de Ipanema,Brazilian,Feijoada Black Bean Stew,main,27500,1
7301700,Garota de Ipanema,Brazilian,Churrasco Grilled Meats,main,26000,1
7301700,Garota de Ipanema,Brazilian,Pão de Queijo,side,21500,1
7301700,Garota de Ipanema,Bar Food,Loaded Nachos,snack,14000,1
7301700,Garota de Ipanema,Bar Food,Buffalo Chicken Wings,snack,7500,1
7301700,Garota de Ipanema,Bar Food,Beer-Battered Onion Rings,snack,29000,1
6706313,Cantina Famiglia Mancini,Italian,Margherita Pizza,main,11000,1
6706313,Cantina Famiglia Mancini,Italian,Spaghetti Carbonara,main,25000,1
6706313,Cantina Famiglia Mancini,Italian,Tiramisu,dessert,15500,0
6706313,Cantina Famiglia Mancini,Pizza,Margherita Pizza,main,11000,1
6706313,Cantina Famiglia Mancini,Pizza,Pepperoni Pizza,main,19500,1
6706313,Cantina Famiglia Mancini,Pizza,Four Cheese Pizza,main,7500,1
6704326,Templo da Carne - Marcos Bassi,Steak,Ribeye Steak with Sides,main,32000,1
6704326,Templo da Carne - Marcos Bassi,Steak,Sirloin Steak Plate,main,25500,1
6704326,Templo da Carne - Marcos Bassi,Steak,Steak Sandwich,main,13500,1
6704326,Templo da Carne - Marcos Bassi,BBQ,Smoked Ribs Platter,main,22000,1
6704326,Templo da Carne - Marcos Bassi,BBQ,BBQ Pulled Pork Sandwich,main,8000,1
6704326,Templo da Carne - Marcos Bassi,BBQ,Charred Corn on the Cob,side,25500,1
6711179,Gopala Hari,Indian,Butter Chicken with Naan,main,13000,1
6711179,Gopala Hari,Indian,Palak Paneer,main,31500,1
6711179,Gopala Hari,Indian,Tandoori Platter,side,32000,1
